nodelist=r23m[0043,0045-0051]
Parallel Research Kernels version 2.17
MPIRMA stencil execution on 2D grid
Number of ranks        = 384
Grid size              = 135765
Radius of stencil      = 1
Tiles in x/y-direction = 16/24
Type of stencil        = star
Data type              = double precision
Compact representation of stencil loop body
Number of iterations   = 1000
Solution validates
Rate (MFlops/s): 828490.744702  Avg time (s): 0.244719  Total time (s): 244.719105
[MEMUSAGE] Total Memory Consumption (max_rss): 335404.832 MiB
[MEMUSAGE] Rank 0:	 873.473 MiB
[MEMUSAGE] Rank 37:	 873.211 MiB
[MEMUSAGE] Rank 38:	 875.547 MiB
[MEMUSAGE] Rank 39:	 873.238 MiB
[MEMUSAGE] Rank 40:	 873.398 MiB
[MEMUSAGE] Rank 41:	 873.176 MiB
[MEMUSAGE] Rank 42:	 873.219 MiB
[MEMUSAGE] Rank 43:	 871.199 MiB
[MEMUSAGE] Rank 44:	 873.391 MiB
[MEMUSAGE] Rank 45:	 873.277 MiB
[MEMUSAGE] Rank 46:	 873.301 MiB
[MEMUSAGE] Rank 47:	 873.297 MiB
[MEMUSAGE] Rank 48:	 873.363 MiB
[MEMUSAGE] Rank 49:	 873.367 MiB
[MEMUSAGE] Rank 50:	 873.488 MiB
[MEMUSAGE] Rank 51:	 873.539 MiB
[MEMUSAGE] Rank 52:	 873.746 MiB
[MEMUSAGE] Rank 53:	 873.336 MiB
[MEMUSAGE] Rank 54:	 873.527 MiB
[MEMUSAGE] Rank 55:	 873.305 MiB
[MEMUSAGE] Rank 56:	 873.371 MiB
[MEMUSAGE] Rank 57:	 871.348 MiB
[MEMUSAGE] Rank 58:	 875.312 MiB
[MEMUSAGE] Rank 59:	 873.312 MiB
[MEMUSAGE] Rank 60:	 873.297 MiB
[MEMUSAGE] Rank 61:	 875.172 MiB
[MEMUSAGE] Rank 62:	 873.379 MiB
[MEMUSAGE] Rank 63:	 873.270 MiB
[MEMUSAGE] Rank 64:	 875.332 MiB
[MEMUSAGE] Rank 65:	 875.562 MiB
[MEMUSAGE] Rank 66:	 873.688 MiB
[MEMUSAGE] Rank 67:	 873.598 MiB
[MEMUSAGE] Rank 68:	 873.551 MiB
[MEMUSAGE] Rank 69:	 871.316 MiB
[MEMUSAGE] Rank 70:	 873.492 MiB
[MEMUSAGE] Rank 71:	 873.391 MiB
[MEMUSAGE] Rank 72:	 873.414 MiB
[MEMUSAGE] Rank 73:	 873.344 MiB
[MEMUSAGE] Rank 74:	 873.562 MiB
[MEMUSAGE] Rank 75:	 873.320 MiB
[MEMUSAGE] Rank 76:	 875.652 MiB
[MEMUSAGE] Rank 77:	 873.449 MiB
[MEMUSAGE] Rank 78:	 873.477 MiB
[MEMUSAGE] Rank 79:	 873.062 MiB
[MEMUSAGE] Rank 80:	 875.344 MiB
[MEMUSAGE] Rank 81:	 873.254 MiB
[MEMUSAGE] Rank 82:	 873.520 MiB
[MEMUSAGE] Rank 83:	 873.480 MiB
[MEMUSAGE] Rank 84:	 873.426 MiB
[MEMUSAGE] Rank 85:	 873.391 MiB
[MEMUSAGE] Rank 86:	 873.277 MiB
[MEMUSAGE] Rank 87:	 875.211 MiB
[MEMUSAGE] Rank 88:	 873.516 MiB
[MEMUSAGE] Rank 89:	 873.316 MiB
[MEMUSAGE] Rank 90:	 875.289 MiB
[MEMUSAGE] Rank 91:	 875.164 MiB
[MEMUSAGE] Rank 92:	 873.230 MiB
[MEMUSAGE] Rank 93:	 873.238 MiB
[MEMUSAGE] Rank 94:	 873.309 MiB
[MEMUSAGE] Rank 95:	 873.137 MiB
[MEMUSAGE] Rank 96:	 873.324 MiB
[MEMUSAGE] Rank 97:	 873.340 MiB
[MEMUSAGE] Rank 98:	 873.457 MiB
[MEMUSAGE] Rank 99:	 873.262 MiB
[MEMUSAGE] Rank 100:	 873.418 MiB
[MEMUSAGE] Rank 101:	 871.258 MiB
[MEMUSAGE] Rank 102:	 873.277 MiB
[MEMUSAGE] Rank 103:	 873.371 MiB
[MEMUSAGE] Rank 104:	 873.516 MiB
[MEMUSAGE] Rank 105:	 871.551 MiB
[MEMUSAGE] Rank 106:	 871.531 MiB
[MEMUSAGE] Rank 107:	 873.277 MiB
[MEMUSAGE] Rank 108:	 873.516 MiB
[MEMUSAGE] Rank 109:	 873.316 MiB
[MEMUSAGE] Rank 110:	 873.484 MiB
[MEMUSAGE] Rank 111:	 875.383 MiB
[MEMUSAGE] Rank 112:	 873.488 MiB
[MEMUSAGE] Rank 113:	 873.410 MiB
[MEMUSAGE] Rank 114:	 873.676 MiB
[MEMUSAGE] Rank 115:	 873.332 MiB
[MEMUSAGE] Rank 116:	 873.426 MiB
[MEMUSAGE] Rank 117:	 871.203 MiB
[MEMUSAGE] Rank 118:	 873.266 MiB
[MEMUSAGE] Rank 119:	 873.152 MiB
[MEMUSAGE] Rank 120:	 873.395 MiB
[MEMUSAGE] Rank 121:	 873.234 MiB
[MEMUSAGE] Rank 122:	 875.273 MiB
[MEMUSAGE] Rank 123:	 873.180 MiB
[MEMUSAGE] Rank 124:	 873.098 MiB
[MEMUSAGE] Rank 125:	 875.367 MiB
[MEMUSAGE] Rank 126:	 873.207 MiB
[MEMUSAGE] Rank 127:	 873.312 MiB
[MEMUSAGE] Rank 128:	 873.352 MiB
[MEMUSAGE] Rank 129:	 873.309 MiB
[MEMUSAGE] Rank 130:	 875.477 MiB
[MEMUSAGE] Rank 131:	 873.480 MiB
[MEMUSAGE] Rank 132:	 873.320 MiB
[MEMUSAGE] Rank 133:	 873.234 MiB
[MEMUSAGE] Rank 134:	 873.188 MiB
[MEMUSAGE] Rank 135:	 873.113 MiB
[MEMUSAGE] Rank 136:	 873.305 MiB
[MEMUSAGE] Rank 137:	 873.223 MiB
[MEMUSAGE] Rank 138:	 873.504 MiB
[MEMUSAGE] Rank 139:	 873.141 MiB
[MEMUSAGE] Rank 140:	 873.355 MiB
[MEMUSAGE] Rank 141:	 873.387 MiB
[MEMUSAGE] Rank 142:	 875.129 MiB
[MEMUSAGE] Rank 143:	 873.211 MiB
[MEMUSAGE] Rank 144:	 873.414 MiB
[MEMUSAGE] Rank 145:	 873.309 MiB
[MEMUSAGE] Rank 146:	 873.625 MiB
[MEMUSAGE] Rank 147:	 873.098 MiB
[MEMUSAGE] Rank 148:	 875.254 MiB
[MEMUSAGE] Rank 149:	 873.062 MiB
[MEMUSAGE] Rank 150:	 873.227 MiB
[MEMUSAGE] Rank 151:	 873.215 MiB
[MEMUSAGE] Rank 152:	 873.430 MiB
[MEMUSAGE] Rank 153:	 873.199 MiB
[MEMUSAGE] Rank 154:	 871.441 MiB
[MEMUSAGE] Rank 155:	 873.258 MiB
[MEMUSAGE] Rank 156:	 873.441 MiB
[MEMUSAGE] Rank 157:	 873.309 MiB
[MEMUSAGE] Rank 158:	 873.395 MiB
[MEMUSAGE] Rank 159:	 873.066 MiB
[MEMUSAGE] Rank 160:	 873.523 MiB
[MEMUSAGE] Rank 161:	 873.512 MiB
[MEMUSAGE] Rank 162:	 873.543 MiB
[MEMUSAGE] Rank 163:	 873.492 MiB
[MEMUSAGE] Rank 164:	 873.414 MiB
[MEMUSAGE] Rank 165:	 873.469 MiB
[MEMUSAGE] Rank 166:	 873.504 MiB
[MEMUSAGE] Rank 167:	 873.465 MiB
[MEMUSAGE] Rank 168:	 873.438 MiB
[MEMUSAGE] Rank 169:	 873.449 MiB
[MEMUSAGE] Rank 170:	 875.246 MiB
[MEMUSAGE] Rank 171:	 873.281 MiB
[MEMUSAGE] Rank 172:	 873.562 MiB
[MEMUSAGE] Rank 173:	 873.254 MiB
[MEMUSAGE] Rank 174:	 873.492 MiB
[MEMUSAGE] Rank 175:	 873.164 MiB
[MEMUSAGE] Rank 176:	 873.332 MiB
[MEMUSAGE] Rank 177:	 873.250 MiB
[MEMUSAGE] Rank 178:	 873.551 MiB
[MEMUSAGE] Rank 179:	 871.223 MiB
[MEMUSAGE] Rank 180:	 873.383 MiB
[MEMUSAGE] Rank 181:	 873.105 MiB
[MEMUSAGE] Rank 182:	 871.203 MiB
[MEMUSAGE] Rank 183:	 873.188 MiB
[MEMUSAGE] Rank 184:	 875.246 MiB
[MEMUSAGE] Rank 185:	 873.281 MiB
[MEMUSAGE] Rank 186:	 871.336 MiB
[MEMUSAGE] Rank 187:	 875.336 MiB
[MEMUSAGE] Rank 188:	 875.266 MiB
[MEMUSAGE] Rank 189:	 873.301 MiB
[MEMUSAGE] Rank 190:	 873.168 MiB
[MEMUSAGE] Rank 191:	 873.180 MiB
[MEMUSAGE] Rank 192:	 871.543 MiB
[MEMUSAGE] Rank 193:	 873.492 MiB
[MEMUSAGE] Rank 194:	 873.363 MiB
[MEMUSAGE] Rank 195:	 873.402 MiB
[MEMUSAGE] Rank 196:	 873.352 MiB
[MEMUSAGE] Rank 197:	 873.172 MiB
[MEMUSAGE] Rank 198:	 873.547 MiB
[MEMUSAGE] Rank 199:	 873.328 MiB
[MEMUSAGE] Rank 200:	 873.223 MiB
[MEMUSAGE] Rank 201:	 873.250 MiB
[MEMUSAGE] Rank 202:	 873.395 MiB
[MEMUSAGE] Rank 203:	 873.203 MiB
[MEMUSAGE] Rank 204:	 873.473 MiB
[MEMUSAGE] Rank 205:	 873.391 MiB
[MEMUSAGE] Rank 206:	 875.562 MiB
[MEMUSAGE] Rank 207:	 873.312 MiB
[MEMUSAGE] Rank 208:	 873.504 MiB
[MEMUSAGE] Rank 209:	 871.352 MiB
[MEMUSAGE] Rank 210:	 873.547 MiB
[MEMUSAGE] Rank 211:	 875.340 MiB
[MEMUSAGE] Rank 212:	 873.559 MiB
[MEMUSAGE] Rank 213:	 873.191 MiB
[MEMUSAGE] Rank 214:	 873.469 MiB
[MEMUSAGE] Rank 215:	 873.445 MiB
[MEMUSAGE] Rank 216:	 873.266 MiB
[MEMUSAGE] Rank 217:	 873.242 MiB
[MEMUSAGE] Rank 218:	 873.094 MiB
[MEMUSAGE] Rank 219:	 873.195 MiB
[MEMUSAGE] Rank 220:	 873.285 MiB
[MEMUSAGE] Rank 221:	 873.398 MiB
[MEMUSAGE] Rank 222:	 873.156 MiB
[MEMUSAGE] Rank 223:	 871.273 MiB
[MEMUSAGE] Rank 224:	 873.551 MiB
[MEMUSAGE] Rank 225:	 873.207 MiB
[MEMUSAGE] Rank 226:	 873.434 MiB
[MEMUSAGE] Rank 227:	 873.207 MiB
[MEMUSAGE] Rank 228:	 873.379 MiB
[MEMUSAGE] Rank 229:	 873.434 MiB
[MEMUSAGE] Rank 230:	 873.426 MiB
[MEMUSAGE] Rank 231:	 873.371 MiB
[MEMUSAGE] Rank 232:	 873.344 MiB
[MEMUSAGE] Rank 233:	 873.246 MiB
[MEMUSAGE] Rank 234:	 873.281 MiB
[MEMUSAGE] Rank 235:	 873.176 MiB
[MEMUSAGE] Rank 236:	 873.328 MiB
[MEMUSAGE] Rank 237:	 873.254 MiB
[MEMUSAGE] Rank 238:	 873.227 MiB
[MEMUSAGE] Rank 239:	 873.289 MiB
[MEMUSAGE] Rank 240:	 873.379 MiB
[MEMUSAGE] Rank 241:	 873.234 MiB
[MEMUSAGE] Rank 242:	 873.523 MiB
[MEMUSAGE] Rank 243:	 875.289 MiB
[MEMUSAGE] Rank 244:	 875.477 MiB
[MEMUSAGE] Rank 245:	 873.250 MiB
[MEMUSAGE] Rank 246:	 873.383 MiB
[MEMUSAGE] Rank 247:	 873.164 MiB
[MEMUSAGE] Rank 248:	 873.223 MiB
[MEMUSAGE] Rank 249:	 871.039 MiB
[MEMUSAGE] Rank 250:	 873.293 MiB
[MEMUSAGE] Rank 251:	 873.234 MiB
[MEMUSAGE] Rank 252:	 873.406 MiB
[MEMUSAGE] Rank 253:	 873.234 MiB
[MEMUSAGE] Rank 254:	 873.406 MiB
[MEMUSAGE] Rank 255:	 873.219 MiB
[MEMUSAGE] Rank 256:	 873.344 MiB
[MEMUSAGE] Rank 257:	 873.391 MiB
[MEMUSAGE] Rank 258:	 873.551 MiB
[MEMUSAGE] Rank 259:	 873.695 MiB
[MEMUSAGE] Rank 260:	 875.621 MiB
[MEMUSAGE] Rank 261:	 873.324 MiB
[MEMUSAGE] Rank 262:	 873.562 MiB
[MEMUSAGE] Rank 263:	 873.535 MiB
[MEMUSAGE] Rank 264:	 873.473 MiB
[MEMUSAGE] Rank 265:	 875.176 MiB
[MEMUSAGE] Rank 266:	 875.379 MiB
[MEMUSAGE] Rank 267:	 873.449 MiB
[MEMUSAGE] Rank 268:	 875.375 MiB
[MEMUSAGE] Rank 269:	 873.305 MiB
[MEMUSAGE] Rank 270:	 873.258 MiB
[MEMUSAGE] Rank 271:	 873.336 MiB
[MEMUSAGE] Rank 272:	 873.633 MiB
[MEMUSAGE] Rank 273:	 875.375 MiB
[MEMUSAGE] Rank 274:	 873.512 MiB
[MEMUSAGE] Rank 275:	 873.457 MiB
[MEMUSAGE] Rank 276:	 873.277 MiB
[MEMUSAGE] Rank 277:	 873.234 MiB
[MEMUSAGE] Rank 278:	 871.375 MiB
[MEMUSAGE] Rank 279:	 873.262 MiB
[MEMUSAGE] Rank 280:	 875.191 MiB
[MEMUSAGE] Rank 281:	 875.262 MiB
[MEMUSAGE] Rank 282:	 873.348 MiB
[MEMUSAGE] Rank 283:	 871.211 MiB
[MEMUSAGE] Rank 284:	 873.141 MiB
[MEMUSAGE] Rank 285:	 873.258 MiB
[MEMUSAGE] Rank 286:	 873.305 MiB
[MEMUSAGE] Rank 287:	 875.148 MiB
[MEMUSAGE] Rank 288:	 873.305 MiB
[MEMUSAGE] Rank 289:	 873.215 MiB
[MEMUSAGE] Rank 290:	 873.340 MiB
[MEMUSAGE] Rank 291:	 873.402 MiB
[MEMUSAGE] Rank 292:	 873.648 MiB
[MEMUSAGE] Rank 293:	 873.293 MiB
[MEMUSAGE] Rank 294:	 873.297 MiB
[MEMUSAGE] Rank 295:	 873.320 MiB
[MEMUSAGE] Rank 296:	 873.410 MiB
[MEMUSAGE] Rank 297:	 873.344 MiB
[MEMUSAGE] Rank 298:	 875.301 MiB
[MEMUSAGE] Rank 299:	 873.309 MiB
[MEMUSAGE] Rank 300:	 875.547 MiB
[MEMUSAGE] Rank 301:	 873.242 MiB
[MEMUSAGE] Rank 302:	 873.625 MiB
[MEMUSAGE] Rank 303:	 873.430 MiB
[MEMUSAGE] Rank 304:	 873.375 MiB
[MEMUSAGE] Rank 305:	 871.254 MiB
[MEMUSAGE] Rank 306:	 873.457 MiB
[MEMUSAGE] Rank 307:	 873.375 MiB
[MEMUSAGE] Rank 308:	 873.594 MiB
[MEMUSAGE] Rank 309:	 873.363 MiB
[MEMUSAGE] Rank 310:	 873.426 MiB
[MEMUSAGE] Rank 311:	 873.328 MiB
[MEMUSAGE] Rank 312:	 873.562 MiB
[MEMUSAGE] Rank 313:	 873.355 MiB
[MEMUSAGE] Rank 314:	 873.570 MiB
[MEMUSAGE] Rank 315:	 873.512 MiB
[MEMUSAGE] Rank 316:	 873.359 MiB
[MEMUSAGE] Rank 317:	 873.266 MiB
[MEMUSAGE] Rank 318:	 875.508 MiB
[MEMUSAGE] Rank 319:	 871.496 MiB
[MEMUSAGE] Rank 320:	 873.332 MiB
[MEMUSAGE] Rank 321:	 873.352 MiB
[MEMUSAGE] Rank 322:	 873.449 MiB
[MEMUSAGE] Rank 323:	 873.438 MiB
[MEMUSAGE] Rank 324:	 873.570 MiB
[MEMUSAGE] Rank 325:	 871.184 MiB
[MEMUSAGE] Rank 326:	 873.445 MiB
[MEMUSAGE] Rank 327:	 873.250 MiB
[MEMUSAGE] Rank 328:	 873.277 MiB
[MEMUSAGE] Rank 329:	 873.098 MiB
[MEMUSAGE] Rank 330:	 873.262 MiB
[MEMUSAGE] Rank 331:	 873.152 MiB
[MEMUSAGE] Rank 332:	 873.340 MiB
[MEMUSAGE] Rank 333:	 875.262 MiB
[MEMUSAGE] Rank 334:	 873.230 MiB
[MEMUSAGE] Rank 335:	 873.242 MiB
[MEMUSAGE] Rank 336:	 873.383 MiB
[MEMUSAGE] Rank 337:	 873.051 MiB
[MEMUSAGE] Rank 338:	 873.113 MiB
[MEMUSAGE] Rank 339:	 873.156 MiB
[MEMUSAGE] Rank 340:	 873.363 MiB
[MEMUSAGE] Rank 341:	 873.297 MiB
[MEMUSAGE] Rank 342:	 873.430 MiB
[MEMUSAGE] Rank 343:	 873.004 MiB
[MEMUSAGE] Rank 344:	 873.309 MiB
[MEMUSAGE] Rank 345:	 873.309 MiB
[MEMUSAGE] Rank 346:	 873.523 MiB
[MEMUSAGE] Rank 347:	 873.137 MiB
[MEMUSAGE] Rank 348:	 873.457 MiB
[MEMUSAGE] Rank 349:	 873.016 MiB
[MEMUSAGE] Rank 350:	 873.402 MiB
[MEMUSAGE] Rank 351:	 873.293 MiB
[MEMUSAGE] Rank 352:	 873.527 MiB
[MEMUSAGE] Rank 353:	 873.223 MiB
[MEMUSAGE] Rank 354:	 873.301 MiB
[MEMUSAGE] Rank 355:	 875.211 MiB
[MEMUSAGE] Rank 356:	 873.520 MiB
[MEMUSAGE] Rank 357:	 873.449 MiB
[MEMUSAGE] Rank 358:	 873.441 MiB
[MEMUSAGE] Rank 359:	 873.352 MiB
[MEMUSAGE] Rank 360:	 873.215 MiB
[MEMUSAGE] Rank 361:	 873.352 MiB
[MEMUSAGE] Rank 362:	 875.547 MiB
[MEMUSAGE] Rank 363:	 873.391 MiB
[MEMUSAGE] Rank 364:	 873.574 MiB
[MEMUSAGE] Rank 365:	 873.164 MiB
[MEMUSAGE] Rank 366:	 871.301 MiB
[MEMUSAGE] Rank 367:	 873.191 MiB
[MEMUSAGE] Rank 368:	 873.219 MiB
[MEMUSAGE] Rank 369:	 873.230 MiB
[MEMUSAGE] Rank 370:	 873.035 MiB
[MEMUSAGE] Rank 371:	 873.477 MiB
[MEMUSAGE] Rank 372:	 873.418 MiB
[MEMUSAGE] Rank 373:	 870.891 MiB
[MEMUSAGE] Rank 374:	 873.102 MiB
[MEMUSAGE] Rank 375:	 874.918 MiB
[MEMUSAGE] Rank 376:	 873.309 MiB
[MEMUSAGE] Rank 377:	 872.996 MiB
[MEMUSAGE] Rank 378:	 873.352 MiB
[MEMUSAGE] Rank 379:	 873.094 MiB
[MEMUSAGE] Rank 380:	 875.176 MiB
[MEMUSAGE] Rank 381:	 873.078 MiB
[MEMUSAGE] Rank 382:	 873.324 MiB
[MEMUSAGE] Rank 383:	 875.113 MiB
EXECUTION VERIFICATION CHECK: SUCCESS
