nodelist=n23m[0177-0179,0181-0186,0195-0198,0204-0206]
# MPI communication: MPI-RMA with lock_all
# Running problem size 20^3 per domain until completion
# Num processors: 729
# Total number of elements: 5832000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Run completed:
   Problem size        =  20
   MPI tasks           =  729
   Iteration count     =  6499
   Final Origin Energy =  5.162211e+06
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 3.288733e-09
        TotalAbsDiff = 4.116191e-08
        MaxRelDiff   = 3.075683e-14

Elapsed time         =    1.4e+02 (s)
Grind time (us/z/c)  =  2.7280688 (per dom)  ( 141.83775 overall)
FOM                  =     267222 (z/s)

[MEMUSAGE] Total Memory Consumption (max_rss): 117698.836 MiB
[MEMUSAGE] Rank 0:	 161.414 MiB
[MEMUSAGE] Rank 212:	 163.512 MiB
[MEMUSAGE] Rank 213:	 161.199 MiB
[MEMUSAGE] Rank 214:	 161.543 MiB
[MEMUSAGE] Rank 215:	 161.297 MiB
[MEMUSAGE] Rank 216:	 161.234 MiB
[MEMUSAGE] Rank 217:	 161.352 MiB
[MEMUSAGE] Rank 218:	 161.312 MiB
[MEMUSAGE] Rank 219:	 161.395 MiB
[MEMUSAGE] Rank 220:	 161.492 MiB
[MEMUSAGE] Rank 221:	 161.449 MiB
[MEMUSAGE] Rank 222:	 161.176 MiB
[MEMUSAGE] Rank 223:	 161.312 MiB
[MEMUSAGE] Rank 224:	 163.305 MiB
[MEMUSAGE] Rank 225:	 161.160 MiB
[MEMUSAGE] Rank 226:	 161.480 MiB
[MEMUSAGE] Rank 227:	 161.367 MiB
[MEMUSAGE] Rank 228:	 163.312 MiB
[MEMUSAGE] Rank 229:	 161.133 MiB
[MEMUSAGE] Rank 230:	 161.320 MiB
[MEMUSAGE] Rank 231:	 161.215 MiB
[MEMUSAGE] Rank 232:	 161.379 MiB
[MEMUSAGE] Rank 233:	 163.305 MiB
[MEMUSAGE] Rank 234:	 161.234 MiB
[MEMUSAGE] Rank 235:	 161.051 MiB
[MEMUSAGE] Rank 236:	 161.105 MiB
[MEMUSAGE] Rank 237:	 161.160 MiB
[MEMUSAGE] Rank 238:	 161.477 MiB
[MEMUSAGE] Rank 239:	 161.516 MiB
[MEMUSAGE] Rank 240:	 163.238 MiB
[MEMUSAGE] Rank 241:	 161.176 MiB
[MEMUSAGE] Rank 242:	 161.020 MiB
[MEMUSAGE] Rank 243:	 161.301 MiB
[MEMUSAGE] Rank 244:	 163.219 MiB
[MEMUSAGE] Rank 245:	 163.012 MiB
[MEMUSAGE] Rank 246:	 161.078 MiB
[MEMUSAGE] Rank 247:	 161.336 MiB
[MEMUSAGE] Rank 248:	 161.238 MiB
[MEMUSAGE] Rank 249:	 161.254 MiB
[MEMUSAGE] Rank 250:	 161.398 MiB
[MEMUSAGE] Rank 251:	 161.141 MiB
[MEMUSAGE] Rank 252:	 161.406 MiB
[MEMUSAGE] Rank 253:	 161.438 MiB
[MEMUSAGE] Rank 254:	 161.359 MiB
[MEMUSAGE] Rank 255:	 161.289 MiB
[MEMUSAGE] Rank 256:	 161.344 MiB
[MEMUSAGE] Rank 257:	 161.395 MiB
[MEMUSAGE] Rank 258:	 161.262 MiB
[MEMUSAGE] Rank 259:	 161.453 MiB
[MEMUSAGE] Rank 260:	 161.031 MiB
[MEMUSAGE] Rank 261:	 161.195 MiB
[MEMUSAGE] Rank 262:	 161.414 MiB
[MEMUSAGE] Rank 263:	 161.438 MiB
[MEMUSAGE] Rank 264:	 163.375 MiB
[MEMUSAGE] Rank 265:	 161.430 MiB
[MEMUSAGE] Rank 266:	 161.340 MiB
[MEMUSAGE] Rank 267:	 161.238 MiB
[MEMUSAGE] Rank 268:	 161.211 MiB
[MEMUSAGE] Rank 269:	 161.188 MiB
[MEMUSAGE] Rank 270:	 161.215 MiB
[MEMUSAGE] Rank 271:	 161.297 MiB
[MEMUSAGE] Rank 272:	 161.324 MiB
[MEMUSAGE] Rank 273:	 161.457 MiB
[MEMUSAGE] Rank 274:	 161.340 MiB
[MEMUSAGE] Rank 275:	 161.086 MiB
[MEMUSAGE] Rank 276:	 161.469 MiB
[MEMUSAGE] Rank 277:	 161.434 MiB
[MEMUSAGE] Rank 278:	 161.305 MiB
[MEMUSAGE] Rank 279:	 161.348 MiB
[MEMUSAGE] Rank 280:	 161.594 MiB
[MEMUSAGE] Rank 281:	 161.668 MiB
[MEMUSAGE] Rank 282:	 161.480 MiB
[MEMUSAGE] Rank 283:	 161.422 MiB
[MEMUSAGE] Rank 284:	 161.820 MiB
[MEMUSAGE] Rank 285:	 161.664 MiB
[MEMUSAGE] Rank 286:	 161.766 MiB
[MEMUSAGE] Rank 287:	 161.391 MiB
[MEMUSAGE] Rank 288:	 161.547 MiB
[MEMUSAGE] Rank 289:	 161.598 MiB
[MEMUSAGE] Rank 290:	 161.504 MiB
[MEMUSAGE] Rank 291:	 161.684 MiB
[MEMUSAGE] Rank 292:	 161.477 MiB
[MEMUSAGE] Rank 293:	 163.492 MiB
[MEMUSAGE] Rank 294:	 161.555 MiB
[MEMUSAGE] Rank 295:	 163.535 MiB
[MEMUSAGE] Rank 296:	 161.242 MiB
[MEMUSAGE] Rank 297:	 159.562 MiB
[MEMUSAGE] Rank 298:	 161.453 MiB
[MEMUSAGE] Rank 299:	 161.645 MiB
[MEMUSAGE] Rank 300:	 161.512 MiB
[MEMUSAGE] Rank 301:	 161.113 MiB
[MEMUSAGE] Rank 302:	 161.414 MiB
[MEMUSAGE] Rank 303:	 161.348 MiB
[MEMUSAGE] Rank 304:	 163.656 MiB
[MEMUSAGE] Rank 305:	 161.312 MiB
[MEMUSAGE] Rank 306:	 161.383 MiB
[MEMUSAGE] Rank 307:	 159.434 MiB
[MEMUSAGE] Rank 308:	 161.453 MiB
[MEMUSAGE] Rank 309:	 161.594 MiB
[MEMUSAGE] Rank 310:	 161.539 MiB
[MEMUSAGE] Rank 311:	 161.316 MiB
[MEMUSAGE] Rank 312:	 161.453 MiB
[MEMUSAGE] Rank 313:	 161.383 MiB
[MEMUSAGE] Rank 314:	 161.359 MiB
[MEMUSAGE] Rank 315:	 161.121 MiB
[MEMUSAGE] Rank 316:	 163.297 MiB
[MEMUSAGE] Rank 317:	 160.984 MiB
[MEMUSAGE] Rank 318:	 161.480 MiB
[MEMUSAGE] Rank 319:	 161.297 MiB
[MEMUSAGE] Rank 320:	 163.266 MiB
[MEMUSAGE] Rank 321:	 161.223 MiB
[MEMUSAGE] Rank 322:	 161.184 MiB
[MEMUSAGE] Rank 323:	 161.387 MiB
[MEMUSAGE] Rank 324:	 161.273 MiB
[MEMUSAGE] Rank 325:	 161.434 MiB
[MEMUSAGE] Rank 326:	 161.488 MiB
[MEMUSAGE] Rank 327:	 161.398 MiB
[MEMUSAGE] Rank 328:	 159.133 MiB
[MEMUSAGE] Rank 329:	 163.469 MiB
[MEMUSAGE] Rank 330:	 161.227 MiB
[MEMUSAGE] Rank 331:	 161.172 MiB
[MEMUSAGE] Rank 332:	 161.203 MiB
[MEMUSAGE] Rank 333:	 161.465 MiB
[MEMUSAGE] Rank 334:	 161.523 MiB
[MEMUSAGE] Rank 335:	 161.574 MiB
[MEMUSAGE] Rank 336:	 161.223 MiB
[MEMUSAGE] Rank 337:	 161.312 MiB
[MEMUSAGE] Rank 338:	 161.484 MiB
[MEMUSAGE] Rank 339:	 161.457 MiB
[MEMUSAGE] Rank 340:	 163.344 MiB
[MEMUSAGE] Rank 341:	 165.531 MiB
[MEMUSAGE] Rank 342:	 161.391 MiB
[MEMUSAGE] Rank 343:	 161.191 MiB
[MEMUSAGE] Rank 344:	 163.340 MiB
[MEMUSAGE] Rank 345:	 161.609 MiB
[MEMUSAGE] Rank 346:	 161.434 MiB
[MEMUSAGE] Rank 347:	 161.461 MiB
[MEMUSAGE] Rank 348:	 161.512 MiB
[MEMUSAGE] Rank 349:	 161.305 MiB
[MEMUSAGE] Rank 350:	 161.461 MiB
[MEMUSAGE] Rank 351:	 161.145 MiB
[MEMUSAGE] Rank 352:	 161.211 MiB
[MEMUSAGE] Rank 353:	 161.230 MiB
[MEMUSAGE] Rank 354:	 161.383 MiB
[MEMUSAGE] Rank 355:	 163.355 MiB
[MEMUSAGE] Rank 356:	 163.539 MiB
[MEMUSAGE] Rank 357:	 161.309 MiB
[MEMUSAGE] Rank 358:	 161.281 MiB
[MEMUSAGE] Rank 359:	 161.266 MiB
[MEMUSAGE] Rank 360:	 161.340 MiB
[MEMUSAGE] Rank 361:	 163.148 MiB
[MEMUSAGE] Rank 362:	 159.492 MiB
[MEMUSAGE] Rank 363:	 161.539 MiB
[MEMUSAGE] Rank 364:	 161.387 MiB
[MEMUSAGE] Rank 365:	 161.230 MiB
[MEMUSAGE] Rank 366:	 161.359 MiB
[MEMUSAGE] Rank 367:	 161.266 MiB
[MEMUSAGE] Rank 368:	 161.504 MiB
[MEMUSAGE] Rank 369:	 161.262 MiB
[MEMUSAGE] Rank 370:	 159.422 MiB
[MEMUSAGE] Rank 371:	 161.473 MiB
[MEMUSAGE] Rank 372:	 159.547 MiB
[MEMUSAGE] Rank 373:	 161.484 MiB
[MEMUSAGE] Rank 374:	 163.555 MiB
[MEMUSAGE] Rank 375:	 161.402 MiB
[MEMUSAGE] Rank 376:	 161.465 MiB
[MEMUSAGE] Rank 377:	 161.391 MiB
[MEMUSAGE] Rank 378:	 163.316 MiB
[MEMUSAGE] Rank 379:	 161.648 MiB
[MEMUSAGE] Rank 380:	 161.496 MiB
[MEMUSAGE] Rank 381:	 161.727 MiB
[MEMUSAGE] Rank 382:	 161.395 MiB
[MEMUSAGE] Rank 383:	 161.535 MiB
[MEMUSAGE] Rank 384:	 161.484 MiB
[MEMUSAGE] Rank 385:	 161.559 MiB
[MEMUSAGE] Rank 386:	 161.293 MiB
[MEMUSAGE] Rank 387:	 161.246 MiB
[MEMUSAGE] Rank 388:	 161.586 MiB
[MEMUSAGE] Rank 389:	 161.406 MiB
[MEMUSAGE] Rank 390:	 161.426 MiB
[MEMUSAGE] Rank 391:	 161.402 MiB
[MEMUSAGE] Rank 392:	 161.430 MiB
[MEMUSAGE] Rank 393:	 161.258 MiB
[MEMUSAGE] Rank 394:	 161.305 MiB
[MEMUSAGE] Rank 395:	 161.418 MiB
[MEMUSAGE] Rank 396:	 159.305 MiB
[MEMUSAGE] Rank 397:	 161.219 MiB
[MEMUSAGE] Rank 398:	 163.273 MiB
[MEMUSAGE] Rank 399:	 161.168 MiB
[MEMUSAGE] Rank 400:	 161.324 MiB
[MEMUSAGE] Rank 401:	 161.398 MiB
[MEMUSAGE] Rank 402:	 161.234 MiB
[MEMUSAGE] Rank 403:	 163.188 MiB
[MEMUSAGE] Rank 404:	 161.340 MiB
[MEMUSAGE] Rank 405:	 161.254 MiB
[MEMUSAGE] Rank 406:	 161.277 MiB
[MEMUSAGE] Rank 407:	 163.219 MiB
[MEMUSAGE] Rank 408:	 161.461 MiB
[MEMUSAGE] Rank 409:	 161.195 MiB
[MEMUSAGE] Rank 410:	 163.242 MiB
[MEMUSAGE] Rank 411:	 163.320 MiB
[MEMUSAGE] Rank 412:	 161.363 MiB
[MEMUSAGE] Rank 413:	 161.102 MiB
[MEMUSAGE] Rank 414:	 161.113 MiB
[MEMUSAGE] Rank 415:	 161.504 MiB
[MEMUSAGE] Rank 416:	 161.562 MiB
[MEMUSAGE] Rank 417:	 159.395 MiB
[MEMUSAGE] Rank 418:	 161.586 MiB
[MEMUSAGE] Rank 419:	 161.500 MiB
[MEMUSAGE] Rank 420:	 161.531 MiB
[MEMUSAGE] Rank 421:	 161.422 MiB
[MEMUSAGE] Rank 422:	 161.199 MiB
[MEMUSAGE] Rank 423:	 163.184 MiB
[MEMUSAGE] Rank 424:	 161.461 MiB
[MEMUSAGE] Rank 425:	 161.512 MiB
[MEMUSAGE] Rank 426:	 161.621 MiB
[MEMUSAGE] Rank 427:	 161.688 MiB
[MEMUSAGE] Rank 428:	 161.480 MiB
[MEMUSAGE] Rank 429:	 161.418 MiB
[MEMUSAGE] Rank 430:	 161.602 MiB
[MEMUSAGE] Rank 431:	 163.305 MiB
[MEMUSAGE] Rank 432:	 163.445 MiB
[MEMUSAGE] Rank 433:	 161.746 MiB
[MEMUSAGE] Rank 434:	 161.477 MiB
[MEMUSAGE] Rank 435:	 161.363 MiB
[MEMUSAGE] Rank 436:	 161.492 MiB
[MEMUSAGE] Rank 437:	 161.273 MiB
[MEMUSAGE] Rank 438:	 161.328 MiB
[MEMUSAGE] Rank 439:	 161.430 MiB
[MEMUSAGE] Rank 440:	 161.211 MiB
[MEMUSAGE] Rank 441:	 163.285 MiB
[MEMUSAGE] Rank 442:	 159.496 MiB
[MEMUSAGE] Rank 443:	 161.441 MiB
[MEMUSAGE] Rank 444:	 161.246 MiB
[MEMUSAGE] Rank 445:	 161.371 MiB
[MEMUSAGE] Rank 446:	 161.418 MiB
[MEMUSAGE] Rank 447:	 161.422 MiB
[MEMUSAGE] Rank 448:	 163.477 MiB
[MEMUSAGE] Rank 449:	 161.199 MiB
[MEMUSAGE] Rank 450:	 161.383 MiB
[MEMUSAGE] Rank 451:	 161.340 MiB
[MEMUSAGE] Rank 452:	 161.461 MiB
[MEMUSAGE] Rank 453:	 161.285 MiB
[MEMUSAGE] Rank 454:	 161.277 MiB
[MEMUSAGE] Rank 455:	 161.148 MiB
[MEMUSAGE] Rank 456:	 161.477 MiB
[MEMUSAGE] Rank 457:	 163.375 MiB
[MEMUSAGE] Rank 458:	 161.246 MiB
[MEMUSAGE] Rank 459:	 161.336 MiB
[MEMUSAGE] Rank 460:	 161.336 MiB
[MEMUSAGE] Rank 461:	 161.445 MiB
[MEMUSAGE] Rank 462:	 159.723 MiB
[MEMUSAGE] Rank 463:	 161.695 MiB
[MEMUSAGE] Rank 464:	 161.441 MiB
[MEMUSAGE] Rank 465:	 161.414 MiB
[MEMUSAGE] Rank 466:	 161.488 MiB
[MEMUSAGE] Rank 467:	 161.375 MiB
[MEMUSAGE] Rank 468:	 161.379 MiB
[MEMUSAGE] Rank 469:	 161.668 MiB
[MEMUSAGE] Rank 470:	 161.516 MiB
[MEMUSAGE] Rank 471:	 161.344 MiB
[MEMUSAGE] Rank 472:	 161.531 MiB
[MEMUSAGE] Rank 473:	 161.363 MiB
[MEMUSAGE] Rank 474:	 161.355 MiB
[MEMUSAGE] Rank 475:	 161.410 MiB
[MEMUSAGE] Rank 476:	 161.445 MiB
[MEMUSAGE] Rank 477:	 160.980 MiB
[MEMUSAGE] Rank 478:	 161.367 MiB
[MEMUSAGE] Rank 479:	 161.145 MiB
[MEMUSAGE] Rank 480:	 161.125 MiB
[MEMUSAGE] Rank 481:	 161.133 MiB
[MEMUSAGE] Rank 482:	 161.230 MiB
[MEMUSAGE] Rank 483:	 161.145 MiB
[MEMUSAGE] Rank 484:	 161.172 MiB
[MEMUSAGE] Rank 485:	 161.039 MiB
[MEMUSAGE] Rank 486:	 161.199 MiB
[MEMUSAGE] Rank 487:	 161.191 MiB
[MEMUSAGE] Rank 488:	 161.520 MiB
[MEMUSAGE] Rank 489:	 161.184 MiB
[MEMUSAGE] Rank 490:	 161.168 MiB
[MEMUSAGE] Rank 491:	 161.074 MiB
[MEMUSAGE] Rank 492:	 163.355 MiB
[MEMUSAGE] Rank 493:	 161.395 MiB
[MEMUSAGE] Rank 494:	 161.133 MiB
[MEMUSAGE] Rank 495:	 161.195 MiB
[MEMUSAGE] Rank 496:	 161.188 MiB
[MEMUSAGE] Rank 497:	 161.316 MiB
[MEMUSAGE] Rank 498:	 161.395 MiB
[MEMUSAGE] Rank 499:	 161.469 MiB
[MEMUSAGE] Rank 500:	 161.320 MiB
[MEMUSAGE] Rank 501:	 161.426 MiB
